Code Snippet;Developer;Explicação do Código;Resposta do Participante;Análise da Resposta
3;6;WizardUIInfoPage é uma classe que representa uma página em uma interface de usuário de assistente. Ela tem métodos para obter a ordem e a descrição da página. O método estático getDefaultPage cria e retorna uma nova instância com a ordem especificada e uma descrição vazia.;definição de uma classe com seus atributos e métodos;Parcialmente Correto. A resposta acerta ao dizer que se trata da definição de uma classe com seus atributos e métodos.
4;1;Este método build na classe CreateBudgetDetails constrói e retorna uma instância de CreateBudgetDetails com vários campos inicializados. Ele também adiciona todos os campos explicitamente definidos à coleção __explicitlySet__.;A função cria uma instância de um objeto com vários atributos e retorna este objet.;Correto. A resposta descreve corretamente a função do método, que é criar uma instância de um objeto com vários atributos e retornar esta instância.
4;2;Este método build na classe CreateBudgetDetails constrói e retorna uma instância de CreateBudgetDetails com vários campos inicializados. Ele também adiciona todos os campos explicitamente definidos à coleção __explicitlySet__.;The code snippet is creating an instance of the class CreateBudgetDeatils, adding elements and returning this instance.;Correto. Esta resposta é semelhante à primeira e também está correta.
4;3;Este método build na classe CreateBudgetDetails constrói e retorna uma instância de CreateBudgetDetails com vários campos inicializados. Ele também adiciona todos os campos explicitamente definidos à coleção __explicitlySet__.;The method creates an instance of the same object, having a similar effect of the class constructor.;Correto. Esta resposta reconhece que o método cria uma instância do mesmo objeto, o que é uma maneira válida de descrever a função do método build em um padrão de projeto de builder.
4;4;Este método build na classe CreateBudgetDetails constrói e retorna uma instância de CreateBudgetDetails com vários campos inicializados. Ele também adiciona todos os campos explicitamente definidos à coleção __explicitlySet__.;O código parece ser um construtor;Incorreto. A resposta sugere que o código é um construtor, o que não é exato.
4;5;Este método build na classe CreateBudgetDetails constrói e retorna uma instância de CreateBudgetDetails com vários campos inicializados. Ele também adiciona todos os campos explicitamente definidos à coleção __explicitlySet__.;A função cria uma instancia de uma classe de builder;Correto. A resposta identifica corretamente que o método é parte de uma classe builder e sua função é criar uma instância da classe CreateBudgetDetails.
4;6;Este método build na classe CreateBudgetDetails constrói e retorna uma instância de CreateBudgetDetails com vários campos inicializados. Ele também adiciona todos os campos explicitamente definidos à coleção __explicitlySet__.;possivelmente um factory method  - cria uma instancia de uma classe;Correto. A resposta identifica o método como um possível método factory.
5;1;Este método resolveGenericRef tenta resolver uma referência genérica, GenericRef, para uma classe ou tipo especificado. Ele verifica se o tipo é uma instância de Class ou ParameterizedType e tenta encontrar uma correspondência com a classe de interface (ifaceClass) em ref.;A função verifica o tipo de instância dos objetos e em duas situações ela apresenta situações de recursão até achar os tipos de determinados objetos.;Correto. A resposta captura corretamente a essência do método, que é verificar o tipo de uma instância e potencialmente chamar o método recursivamente.
5;2;Este método resolveGenericRef tenta resolver uma referência genérica, GenericRef, para uma classe ou tipo especificado. Ele verifica se o tipo é uma instância de Class ou ParameterizedType e tenta encontrar uma correspondência com a classe de interface (ifaceClass) em ref.;The code snippet is checking if there is a specfic type in a class.;Parcialmente Correto. A resposta está correta ao afirmar que o código verifica um tipo específico em uma classe, mas não menciona a natureza recursiva do método.
5;3;Este método resolveGenericRef tenta resolver uma referência genérica, GenericRef, para uma classe ou tipo especificado. Ele verifica se o tipo é uma instância de Class ou ParameterizedType e tenta encontrar uma correspondência com a classe de interface (ifaceClass) em ref.;The codes analyses the type of ref argument and, depending of this value, it returns true or starts an infinity loop by recursively calling the same method.;Incorreto. A resposta contém um erro significativo ao sugerir a possibilidade de um loop infinito.
5;4;Este método resolveGenericRef tenta resolver uma referência genérica, GenericRef, para uma classe ou tipo especificado. Ele verifica se o tipo é uma instância de Class ou ParameterizedType e tenta encontrar uma correspondência com a classe de interface (ifaceClass) em ref.;O trecho de código apresenta um método que almeja atribuir um valor a uma referência. Ele verifica o tipo de um dos parâmetros através de condicionais e, dependendo do tipo do parâmetro, atribui o valor ou chama uma nova função;Correto. Esta resposta compreende bem o propósito do método, que é atribuir um valor a uma referência após verificar o tipo de um dos parâmetros.
5;5;Este método resolveGenericRef tenta resolver uma referência genérica, GenericRef, para uma classe ou tipo especificado. Ele verifica se o tipo é uma instância de Class ou ParameterizedType e tenta encontrar uma correspondência com a classe de interface (ifaceClass) em ref.;a função verifica se um ref é igual a uma variavel de uma classe;Parcialmente Correto. A resposta identifica a verificação de igualdade entre ref e uma variável de classe, mas não captura a complexidade completa do método.
5;6;Este método resolveGenericRef tenta resolver uma referência genérica, GenericRef, para uma classe ou tipo especificado. Ele verifica se o tipo é uma instância de Class ou ParameterizedType e tenta encontrar uma correspondência com a classe de interface (ifaceClass) em ref.;metodo para verificar se metodo referenciado é de tipo passado nos parametros;Correto. A resposta descreve corretamente o método como uma verificação para determinar se o tipo do objeto referenciado corresponde ao tipo passado nos parâmetros.
6;1;Este método format é uma implementação simplificada de um formatador de string. Ele substitui cada ocorrência de {i} na string s pelo i-ésimo objeto no array arguments.;A função troca um delimitador dentro de uma string pelo valor dentro de um array e retorna a nova string formatada.;Correto. A resposta identifica corretamente a funcionalidade do método, que é substituir um delimitador dentro de uma string pelos valores de um array e retornar a string formatada.
6;2;Este método format é uma implementação simplificada de um formatador de string. Ele substitui cada ocorrência de {i} na string s pelo i-ésimo objeto no array arguments.;The code snippet is swapping specific codes in a string for words.;Incorreto. Esta resposta é um pouco vaga e não capta a especificidade da funcionalidade do método.
6;3;Este método format é uma implementação simplificada de um formatador de string. Ele substitui cada ocorrência de {i} na string s pelo i-ésimo objeto no array arguments.;The code get a string and replace every substring of it composed by {number} by the value of the argument on the position number in list of arguments.;Correto. Esta resposta descreve precisamente o funcionamento do método.
6;4;Este método format é uma implementação simplificada de um formatador de string. Ele substitui cada ocorrência de {i} na string s pelo i-ésimo objeto no array arguments.;Trata-se de um método que formata uma string;Correto. A resposta é mais geral, mas ainda correta. Identifica o método como um formatador de strings.
6;5;Este método format é uma implementação simplificada de um formatador de string. Ele substitui cada ocorrência de {i} na string s pelo i-ésimo objeto no array arguments.;a função formata uma string, substituindo o delimitador por outro caractere numa string passada por parametro;Incorreto. A resposta sugere que a função substitui um delimitador por outro caractere, o que não é exatamente o que o método faz.
6;6;Este método format é uma implementação simplificada de um formatador de string. Ele substitui cada ocorrência de {i} na string s pelo i-ésimo objeto no array arguments.;formata uma string substituindo tags entre chaves {0}, {1}, etc por parametros passados como array de objetos;Correto. Esta resposta descreve com precisão a funcionalidade do método.
7;1;XelatexRunner é uma subclasse de LatexRunner, específica para o programa XeLaTeX. Ela fornece implementações específicas para métodos como getWindowsProgramName, getUnixProgramName, getDescription, getDefaultArguments e getOutputFormat, apropriados para executar e manipular XeLaTeX.;O código é uma classe que herda métodos de outra e possui métodos para retornar valores.;Correto. A resposta identifica corretamente a essência da classe XelatexRunner.
7;2;XelatexRunner é uma subclasse de LatexRunner, específica para o programa XeLaTeX. Ela fornece implementações específicas para métodos como getWindowsProgramName, getUnixProgramName, getDescription, getDefaultArguments e getOutputFormat, apropriados para executar e manipular XeLaTeX.;The code snippet is a class that creates a ProgramRunner for latex.;Correto. Esta resposta também é acurada. Ela descreve a classe como um criador de ProgramRunner para LaTeX.
7;3;XelatexRunner é uma subclasse de LatexRunner, específica para o programa XeLaTeX. Ela fornece implementações específicas para métodos como getWindowsProgramName, getUnixProgramName, getDescription, getDefaultArguments e getOutputFormat, apropriados para executar e manipular XeLaTeX.;The code creates an object XelatexRunner that extends the LatexRunner object, just changing some parameters values.;Correto. A resposta identifica que XelatexRunner é uma extensão de LatexRunner, modificando alguns valores de parâmetros.
7;4;XelatexRunner é uma subclasse de LatexRunner, específica para o programa XeLaTeX. Ela fornece implementações específicas para métodos como getWindowsProgramName, getUnixProgramName, getDescription, getDefaultArguments e getOutputFormat, apropriados para executar e manipular XeLaTeX.;Parece se tratar de uma classe que estende outra mas não introduz nenhum elemento novo significativo além de atributos, como nome e descrição;Correto. A resposta descreve a classe como uma extensão de outra classe sem adicionar novos elementos significativos.
7;5;XelatexRunner é uma subclasse de LatexRunner, específica para o programa XeLaTeX. Ela fornece implementações específicas para métodos como getWindowsProgramName, getUnixProgramName, getDescription, getDefaultArguments e getOutputFormat, apropriados para executar e manipular XeLaTeX.;a classe retorna strings do runner de Latex;Parcialmente Correto. A resposta é um pouco simplificada, mas não está totalmente errada.
7;6;XelatexRunner é uma subclasse de LatexRunner, específica para o programa XeLaTeX. Ela fornece implementações específicas para métodos como getWindowsProgramName, getUnixProgramName, getDescription, getDefaultArguments e getOutputFormat, apropriados para executar e manipular XeLaTeX.;classe criada como wrapper para chamada/criação de processo que executa programa externo xelatex.exe;Correto. Esta resposta compreende bem o papel da classe: um wrapper para a execução do programa externo xelatex.exe.
8;1;JobExecutionFactoryImpl é uma implementação de JobExecutionFactory marcada com @KapuaProvider. Ela cria várias entidades e criadores relacionados à execução de trabalhos.;O código cria uma classe que herda métodos de outra classe e reescreve alguns deles.;Correto. A resposta identifica corretamente que a classe JobExecutionFactoryImpl herda e reescreve alguns métodos.
8;2;JobExecutionFactoryImpl é uma implementação de JobExecutionFactory marcada com @KapuaProvider. Ela cria várias entidades e criadores relacionados à execução de trabalhos.;It is a class that implements methods from another class.;Correto. Esta resposta também é correta. A classe implementa métodos de outra classe ou interface.
8;3;JobExecutionFactoryImpl é uma implementação de JobExecutionFactory marcada com @KapuaProvider. Ela cria várias entidades e criadores relacionados à execução de trabalhos.;The code defines an object JobExecutionFactoryImpl that implements an interface of JobExecutionFactory, but overwrite the methods returning new instances of objects different of the one defined in the class.;Parcialmente Correto. A resposta reconhece que JobExecutionFactoryImpl implementa a interface JobExecutionFactory.
8;4;JobExecutionFactoryImpl é uma implementação de JobExecutionFactory marcada com @KapuaProvider. Ela cria várias entidades e criadores relacionados à execução de trabalhos.;Não tenho certeza do que o código faz. Parece se tratar de uma factory que implementa uma interface e não adiciona nenhuma lógica.;Parcialmente Correto. A resposta sugere incerteza sobre o propósito do código.
8;5;JobExecutionFactoryImpl é uma implementação de JobExecutionFactory marcada com @KapuaProvider. Ela cria várias entidades e criadores relacionados à execução de trabalhos.;a classe implementa uma interface, mas só repassa os métodos;Correto. A descrição de que a classe implementa uma interface e repassa os métodos é uma maneira simplificada de descrever a implementação.
8;6;JobExecutionFactoryImpl é uma implementação de JobExecutionFactory marcada com @KapuaProvider. Ela cria várias entidades e criadores relacionados à execução de trabalhos.;classe factory para instanciacao da classe JobExecution. Segue definicao de classe possivelmente abstrata JobExecutionFactory;Correto. Esta resposta descreve a classe como uma factory para a instância da classe JobExecution.
9;1;O método discoverHosts descobre hosts com base nos parâmetros especificados no comando AddHostCmd. Ele verifica acessos, trata cenários de clusters autônomos e não autônomos, e lança exceções em casos de parâmetros inválidos ou problemas ao encontrar um cluster.;A função descobre hosts dentro de determinado ambiente e retorna um objeto com inúmeros parâmetros a respeito deste host.;Parcialmente Correto. A resposta captura a ideia principal do método, mas não aborda completamente a complexidade do método.
9;2;O método discoverHosts descobre hosts com base nos parâmetros especificados no comando AddHostCmd. Ele verifica acessos, trata cenários de clusters autônomos e não autônomos, e lança exceções em casos de parâmetros inválidos ou problemas ao encontrar um cluster.;It is searching fow all hosts in a function.;Incorreto. Esta resposta é muito genérica e não captura os detalhes do método.
9;3;O método discoverHosts descobre hosts com base nos parâmetros especificados no comando AddHostCmd. Ele verifica acessos, trata cenários de clusters autônomos e não autônomos, e lança exceções em casos de parâmetros inválidos ou problemas ao encontrar um cluster.;The code creates an new object with the same parameters and values of another.;Incorreto. A resposta sugere que o código cria um novo objeto com os mesmos parâmetros e valores de outro, o que não corresponde ao que o método faz.
9;4;O método discoverHosts descobre hosts com base nos parâmetros especificados no comando AddHostCmd. Ele verifica acessos, trata cenários de clusters autônomos e não autônomos, e lança exceções em casos de parâmetros inválidos ou problemas ao encontrar um cluster.;O método parece ser um pré processamento para a chamada de discoverHostsFull, onde são validados alguns dos parâmetros;Correto. A resposta identifica corretamente que o método parece ser um pré-processamento para a chamada discoverHostsFull.
9;5;O método discoverHosts descobre hosts com base nos parâmetros especificados no comando AddHostCmd. Ele verifica acessos, trata cenários de clusters autônomos e não autônomos, e lança exceções em casos de parâmetros inválidos ou problemas ao encontrar um cluster.;não entendi o código;Incorreto. Esta resposta indica uma falta de compreensão do código.
9;6;O método discoverHosts descobre hosts com base nos parâmetros especificados no comando AddHostCmd. Ele verifica acessos, trata cenários de clusters autônomos e não autônomos, e lança exceções em casos de parâmetros inválidos ou problemas ao encontrar um cluster.;classe retorna lista que herda classe hosts. Lista de objetos com assinatura de hosts recebe objetos distintos que herdam a classe hosts.;Correto. Esta resposta é detalhada e aborda vários aspectos importantes do método.
10;1;Este método connected configura um SocketChannel. Ele inicializa o codec se não for null, configura o canal para ser não-bloqueante, obtém e armazena o endereço remoto, e ajusta configurações de socket como SO_LINGER e TCP_NODELAY.;O método configura a conexão de um socket através de alguns parâmetros e em caso de erro gera algumas exceções.;Correto. Esta resposta é precisa ao descrever que o método configura uma conexão de socket com certos parâmetros.
10;2;Este método connected configura um SocketChannel. Ele inicializa o codec se não for null, configura o canal para ser não-bloqueante, obtém e armazena o endereço remoto, e ajusta configurações de socket como SO_LINGER e TCP_NODELAY.;The code snippet is connecting to a TCP socket.;Parcialmente Correto. A resposta acerta ao dizer que o código está conectando a um socket TCP, mas não menciona os detalhes da configuração do socket.
10;3;Este método connected configura um SocketChannel. Ele inicializa o codec se não for null, configura o canal para ser não-bloqueante, obtém e armazena o endereço remoto, e ajusta configurações de socket como SO_LINGER e TCP_NODELAY.;The code initializes a socket and creates a connection.;Correto. Esta resposta é precisa ao afirmar que o código inicializa um socket e cria uma conexão.
10;4;Este método connected configura um SocketChannel. Ele inicializa o codec se não for null, configura o canal para ser não-bloqueante, obtém e armazena o endereço remoto, e ajusta configurações de socket como SO_LINGER e TCP_NODELAY.;Trata-se de um método que configura um canal remoto e um local;Incorreto. A resposta sugere que o método configura tanto um canal remoto quanto um local, o que não é totalmente preciso.
10;5;Este método connected configura um SocketChannel. Ele inicializa o codec se não for null, configura o canal para ser não-bloqueante, obtém e armazena o endereço remoto, e ajusta configurações de socket como SO_LINGER e TCP_NODELAY.;a função conecta com um socket;Correto. Esta resposta é simplificada, mas essencialmente correta. O método de fato conecta com um socket.
10;6;Este método connected configura um SocketChannel. Ele inicializa o codec se não for null, configura o canal para ser não-bloqueante, obtém e armazena o endereço remoto, e ajusta configurações de socket como SO_LINGER e TCP_NODELAY.;verifica se há conexao em canal criado após chamada/conexão em classe que implementa protocolo/socket tcp.;Correto. Esta é uma resposta detalhada e abrangente que captura o funcionamento detalhado do método.
11;1;O método getOrderedLogFileIds obtém e retorna uma lista ordenada de IDs de arquivos de log. Ele verifica a existência e a validade do diretório de log, lista os arquivos de log que correspondem a um prefixo específico, converte os nomes dos arquivos em IDs e os ordena.;A função retorna uma lista ordenada com os Ids de um arquivo.;Correto. A resposta captura a essência do método, que é retornar uma lista ordenada de IDs de arquivo.
11;2;O método getOrderedLogFileIds obtém e retorna uma lista ordenada de IDs de arquivos de log. Ele verifica a existência e a validade do diretório de log, lista os arquivos de log que correspondem a um prefixo específico, converte os nomes dos arquivos em IDs e os ordena.;The code snippet is getting data from a file that has logs.;Incorreto. A resposta sugere que o código está obtendo dados de um arquivo de logs, o que não é exato.
11;3;O método getOrderedLogFileIds obtém e retorna uma lista ordenada de IDs de arquivos de log. Ele verifica a existência e a validade do diretório de log, lista os arquivos de log que correspondem a um prefixo específico, converte os nomes dos arquivos em IDs e os ordena.;The presented method verifies if the path received is from a directory. If it is, an list with the directory files lenghts sorted by its lenght.;Incorreto. Esta resposta parece ter uma compreensão equivocada do código.
11;4;O método getOrderedLogFileIds obtém e retorna uma lista ordenada de IDs de arquivos de log. Ele verifica a existência e a validade do diretório de log, lista os arquivos de log que correspondem a um prefixo específico, converte os nomes dos arquivos em IDs e os ordena.;Trata-se de um código que retorna performa testes de validação e retorna logs ordenados por id;Correto. A resposta identifica que o código realiza testes de validação e retorna logs ordenados por ID.
11;5;O método getOrderedLogFileIds obtém e retorna uma lista ordenada de IDs de arquivos de log. Ele verifica a existência e a validade do diretório de log, lista os arquivos de log que correspondem a um prefixo específico, converte os nomes dos arquivos em IDs e os ordena.;a função retorna uma lista ordenada das ids de logfiles;Correto. A resposta é sucinta, mas correta. O método realmente retorna uma lista ordenada de IDs de arquivos de log.
11;6;O método getOrderedLogFileIds obtém e retorna uma lista ordenada de IDs de arquivos de log. Ele verifica a existência e a validade do diretório de log, lista os arquivos de log que correspondem a um prefixo específico, converte os nomes dos arquivos em IDs e os ordena.;retorna lista de ids de arquivos de log em diretorio predefinido 'logDir'. Gera exception caso diretorio nao exista.;Correto. Esta resposta é detalhada e precisa. Ela descreve a verificação da existência do diretório e a listagem de IDs de arquivos de log.
12;1;getPageEncodingFromDirective analisa os atributos de uma diretiva para extrair a codificação da página. Ele verifica o valor do atributo pageEncoding ou, alternativamente, extrai a codificação do valor do atributo contentType se ele contiver a substring 'charset'.;Não participou da análise desse trecho de código.;Não aplicável.
12;2;getPageEncodingFromDirective analisa os atributos de uma diretiva para extrair a codificação da página. Ele verifica o valor do atributo pageEncoding ou, alternativamente, extrai a codificação do valor do atributo contentType se ele contiver a substring 'charset'.;The code snippet is getting the encoding from a directive.;Correto. Esta resposta é precisa ao descrever que o código está obtendo a codificação de uma diretiva.
12;3;getPageEncodingFromDirective analisa os atributos de uma diretiva para extrair a codificação da página. Ele verifica o valor do atributo pageEncoding ou, alternativamente, extrai a codificação do valor do atributo contentType se ele contiver a substring 'charset'.;The method code gets the value of the atribute attrName and returns it if the attrName is pageEncoding, null if it is null or a encoded string.;Parcialmente Correto. A resposta está correta ao afirmar que o método obtém o valor do atributo attrName e retorna esse valor se o attrName for igual a pageEncoding.
12;4;getPageEncodingFromDirective analisa os atributos de uma diretiva para extrair a codificação da página. Ele verifica o valor do atributo pageEncoding ou, alternativamente, extrai a codificação do valor do atributo contentType se ele contiver a substring 'charset'.;Trata-se de um método que recebe um objeto como parâmetro e retorna informações dele;Incorreto. A resposta é muito vaga e não captura a essência específica do código.
12;5;getPageEncodingFromDirective analisa os atributos de uma diretiva para extrair a codificação da página. Ele verifica o valor do atributo pageEncoding ou, alternativamente, extrai a codificação do valor do atributo contentType se ele contiver a substring 'charset'.;pega um valor de uma lista de atributos;Parcialmente Correto. Esta resposta é um pouco simplificada, mas não está totalmente errada.
12;6;getPageEncodingFromDirective analisa os atributos de uma diretiva para extrair a codificação da página. Ele verifica o valor do atributo pageEncoding ou, alternativamente, extrai a codificação do valor do atributo contentType se ele contiver a substring 'charset'.;recebe 'lista/dicionario' de atributos e verifica um atributo passado por parametro caso parametro passado seja de nome 'pageEncoding'.;Correto. Esta resposta é detalhada e captura a funcionalidade do método com precisão.
13;1;Esta é uma classe abstrata Builder dentro de uma classe AutoValue. Ela define métodos abstratos para configurar diferentes propriedades e um método build para criar uma instância do tipo Write<T>.;O código implementa uma classe abstrata com as chamadas de métodos da classe que será implementada.;Correto. A resposta identifica corretamente que o código implementa uma classe abstrata que define os métodos para a classe que será implementada.
13;2;Esta é uma classe abstrata Builder dentro de uma classe AutoValue. Ela define métodos abstratos para configurar diferentes propriedades e um método build para criar uma instância do tipo Write<T>.;O participante 2 não participou da análise desse trecho de código.;Não aplicável.
13;3;Esta é uma classe abstrata Builder dentro de uma classe AutoValue. Ela define métodos abstratos para configurar diferentes propriedades e um método build para criar uma instância do tipo Write<T>.;The code a static object definition class.;Incorreto. A resposta descreve o código como uma 'definição de classe de objeto estático', o que não é preciso.
13;4;Esta é uma classe abstrata Builder dentro de uma classe AutoValue. Ela define métodos abstratos para configurar diferentes propriedades e um método build para criar uma instância do tipo Write<T>.;O trecho possui o 'blueprint' de uma classe que atua como armazém de dados;Correto. Esta resposta descreve o código como um 'blueprint' de uma classe que funciona como um armazém de dados.
13;5;Esta é uma classe abstrata Builder dentro de uma classe AutoValue. Ela define métodos abstratos para configurar diferentes propriedades e um método build para criar uma instância do tipo Write<T>.;é uma classe para modificar uma variavel de outra classe;Incorreto. A resposta sugere que a classe é usada para modificar uma variável de outra classe, o que não captura o propósito real do código.
13;6;Esta é uma classe abstrata Builder dentro de uma classe AutoValue. Ela define métodos abstratos para configurar diferentes propriedades e um método build para criar uma instância do tipo Write<T>.;classe abstrata para criacao/definicao de uma classe builder tipificada (por tipo generico).;Correto. Esta resposta compreende bem o papel da classe abstrata Builder: ela é usada para definir um padrão builder tipificado.
